prompt,completion,URL,pageType,date
"If the PSU author is listed as the first author and there are fewer than five authors in total, what percentage of the incentive's amount will be awarded?","If the PSU author is listed as the first author and there are five or more authors in total, 70% of the incentive's amount will be given.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What proportion of the incentive's amount will be given if the PSU author is the first author and the total number of authors is less than five?,"When the PSU author is listed as the first author and the total number of authors is five or more, they will receive 70% of the incentive amount.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What percentage of the incentive's amount will be given if the PSU author is listed as the first author and there are five or more authors in total?,"If the PSU author occupies the first author position and the total number of authors exceeds five, they will be granted 70% of the incentive amount.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
"If the PSU author is the first author and there are five or more authors in total, what percentage of the incentive's amount will be provided?","If the PSU author is not listed as the first author and there are less than five authors in total, 35% of the incentive's amount will be given.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What portion of the incentive's amount will be awarded if the PSU author is listed as the first author and the total number of authors is five or more?,If the PSU author is not in the first author position and the total number of authors,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What percentage of the incentive's amount will be given if the PSU author is not listed as the first author and there are less than five authors in total?,"is fewer than five, they will receive 35% of the incentive amount.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
"If the PSU author is not the first author and there are fewer than five authors in total, what percentage of the incentive's amount will be given?","When the PSU author is not listed as the primary author and the total number of authors is less than five, they will be awarded 35% of the incentive amount.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
How much of the incentive's amount will be awarded if the PSU author is not the first author and the total number of authors is less than five?,"If the PSU author is not listed as the first author and there are five or more authors in total, 20% of the incentive's amount will be given.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the incentive amounts for ISI and SCOPUS rankings in 2023?,"The incentive amounts for ISI rankings in 2023 are 7000 SAR for Q1, 6000 SAR for Q2, 3000 SAR for Q3, and 2000 SAR for Q4.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the specified amounts of incentives for ISI and SCOPUS rankings in 2023?,"The specified amounts of incentives for ISI rankings in 2023 are 7000 SAR for Q1, 6000 SAR for Q2, 3000 SAR for Q3, and 2000 SAR for Q4.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Could you provide the incentive figures for ISI and SCOPUS rankings in 2023?,"In 2023, the incentives allocated for ISI rankings are 7000 SAR for Q1, 6000 SAR for Q2, 3000 SAR for Q3, and 2000 SAR for Q4.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
How does the incentive scale vary based on the ranking and quartile in ISI and SCOPUS?,The incentive scale varies based on the ranking and quartile in ISI and SCOPUS. The specific amounts are provided in the text.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
"In terms of ranking and quartile in ISI and SCOPUS, how does the incentive scale differ?","The incentive scale changes depending on the ranking and quartile in ISI and SCOPUS, as outlined in the text.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the variations in the incentive scale based on ranking and quartile in ISI and SCOPUS?,"The specific amounts of incentives are stated in the text, and they differ based on the ranking and quartile in ISI and SCOPUS.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Are there any additional incentives for journals with high ISI Impact Factor?,"Yes, there are additional incentives for journals with high ISI Impact Factor.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Do journals with high ISI Impact Factor receive any additional incentives?,"Affirmative, journals with high ISI Impact Factor receive supplementary incentives.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Are there supplementary incentives for journals that have a high ISI Impact Factor?,"Indeed, there are extra incentives offered for journals that possess a high ISI Impact Factor.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the specific incentive amounts for the top 1% and top 10% journals in terms of ISI Impact Factor?,The specific incentive amount for the top 1% journals in terms of ISI Impact Factor is 2000 SAR. The incentive amount for the top 10% journals is 1000 SAR.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Could you provide the precise incentive amounts for the top 1% and top 10% journals based on ISI Impact Factor?,"The incentive amount specifically designated for the top 1% of journals, based on ISI Impact Factor, is 2000 SAR, while it is 1000 SAR for the top 10% of journals.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the exact incentives offered for journals in the top 1% and top 10% in relation to ISI Impact Factor?,"For journals that fall within the top 1% based on ISI Impact Factor, the incentive amount is 2000 SAR, whereas it is 1000 SAR for those in the top 10%.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Where can I find the list of journals eligible for incentives on the RIC website?,The list of journals eligible for incentives can be found on the RIC website.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Could you please direct me to the location of the list of eligible journals for incentives on the RIC website?,"On the RIC website, you can access the list of eligible journals that qualify for incentives.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Can you inform me of the specific webpage where I can find the list of eligible journals for incentives on the RIC website?,The RIC website provides the list of journals that meet the criteria for incentives.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What is the maximum ceiling for incentives per faculty member?,"The maximum ceiling for incentives per faculty member is 55,000 SAR.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What is the upper limit for incentives per faculty member?,"There is a limit of 55,000 SAR per faculty member for incentives.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Could you specify the maximum amount of incentives allowed per faculty member?,"The maximum amount of incentives per faculty member cannot exceed 55,000 SAR.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
How will the incentive amounts for Scopus-only publications be determined?,The incentive amounts for Scopus-only publications will be determined based on the H-Index of the journal as illustrated in the provided table.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
In what manner will the incentive amounts be calculated for Scopus-only publications?,"The incentive amounts for publications exclusive to Scopus will be calculated according to the H-Index of the journal, as depicted in the table provided.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Can you explain the process of determining the incentive amounts for publications exclusive to Scopus?,The provided table presents the methodology for determining the incentive amounts for Scopus-only publications based on the H-Index of the journal.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Is there a table illustrating the rate of incentives based on the H-Index of the journal?,"Yes, there is a table illustrating the rate of incentives based on the H-Index of the journal.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Does a table exist that demonstrates the incentive rates corresponding to the H-Index of the journal?,"Absolutely, a table exists that visually represents the rate of incentives corresponding to the H-Index of the journal.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Can I access a table that presents the incentive percentages based on the H-Index of the journal?,"Yes, there is a table available that demonstrates the correlation between the H-Index of the journal and the rate of incentives.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the different H-Index ranges and their corresponding percentage of incentives?,"The different H-Index ranges and their corresponding percentage of incentives are as follows: 0-10 (79%), 11-20 (82%), 21-30 (86%), 31-40 (90%), 41-49 (95%), and 50 and above (100%).",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Could you provide the various H-Index ranges and their corresponding incentive percentages?,"The various H-Index ranges and their associated percentage of incentives are outlined as follows: 0-10 (79%), 11-20 (82%), 21-30 (86%), 31-40 (90",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the distinct H-Index ranges and the corresponding percentage of incentives associated with each range?,"%), 41-49 (95%), and 50 or higher (100%).",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Where can I find the H-Index of journals listed in the Scimago Journal & Country Rank?,"In terms of the H-Index, the different ranges correspond to specific percentages of incentives: 0-10 (79%), 11-20 (82%), 21-30 (86%), 31-40 (90%), 41-49 (95%), and 50 or above (100%).",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Can you guide me to the location where I can find the H-Index of journals that are listed in the Scimago Journal & Country Rank?,The H-Index of journals listed in the Scimago Journal & Country Rank.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Where specifically can I locate the H-Index of the journals listed in the Scimago Journal & Country Rank?,The Scimago Journal & Country Rank provides the H-Index of journals that are included in their listings.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
How are the incentive percentages calculated for Scopus-only publications if the journal is indexed in ISI?,You can find the H-Index of journals listed in the Scimago Journal & Country Rank.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
"If a journal is indexed in ISI, how are the incentive percentages determined for Scopus-only publications?","The incentive percentages for Scopus-only publications, if the journal is indexed in ISI, are not provided in the text.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Could you explain the methodology behind calculating the incentive percentages for Scopus-only publications if the journal is already indexed in ISI?,The text does not provide the incentive percentages for Scopus-only publications when the journal is indexed in ISI.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Sure! Here are the original questions along with two paraphrases for each question:,Extra incentives are allocated to publications produced within the PSU research labs by adding 50% extra amount to the deserved incentives based on current bylaws.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
How are extra incentives allocated to publications produced within the PSU research labs?,Additional rewards are granted to publications that originate from the research labs at PSU by supplementing the deserved incentives with an extra 50% according to the existing regulations.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
How are additional rewards distributed to publications that are created within the research labs at PSU?,"In accordance with the current bylaws, publications created within the PSU research labs receive extra incentives equivalent to 50% of the deserved amount.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What is the process for assigning extra incentives to publications that originate from the research labs at PSU?,"For a publication to be considered as being produced by a research lab, it must satisfy three conditions: (1) It has at least two researchers affiliated with the research lab or PSU faculty members. (2) An author of the research lab/PSU is the first author. (3) It has a maximum of one co-author outside PSU, who should be the last author.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the conditions for a publication to be considered as being produced by a research lab?,"To qualify as a research lab publication, certain criteria must be met: (1) The publication should involve a minimum of two researchers associated with the research lab or PSU faculty members. (2) The first author must be affiliated with the research lab or PSU. (3) There can be a maximum of one co-author from outside PSU, who should be listed as the final author.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What criteria must a publication meet to be categorized as originating from a research lab?,"A publication can be categorized as originating from a research lab if it fulfills three requirements: (1) It involves at least two researchers who are either affiliated with the research lab or are PSU faculty members. (2) The first author should be affiliated with the research lab or PSU. (3) It can have at most one co-author from outside PSU, who must be listed as the last author.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the requirements for a publication to be classified as produced by a research lab?,"The order of applying the rules for the deserved incentives amount is as follows: (1) Add the top 1%, 10% ISI Impact Factor extra incentives, if applicable. (2) Apply the pure research lab paper extra incentive if applicable. (3) Apply the rate of deserved incentives based on the H-Index of the journal. (4) Apply the distribution of the incentive's amount among PSU authors.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What is the order of applying the rules for the deserved incentives amount?,"The sequence for implementing the rules regarding the deserved incentives amount is as follows: (1) If applicable, include the additional incentives for the top 1% and 10% ISI Impact Factor. (2) Apply the extra incentives designated for pure research lab papers, if applicable. (3) Determine the incentives based on the H-Index of the journal. (4) Allocate the incentives among the authors affiliated with PSU.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
In what sequence are the rules for determining the deserved incentives amount applied?,"The steps for calculating the deserved incentives amount are as follows: (1) If relevant, incorporate the supplementary incentives for the top 1% and 10% ISI Impact Factor. (2) Apply the extra incentives specific to pure research lab papers, if relevant. (3) Determine the incentives based on the H-Index of the journal. (4) Distribute the incentives among the authors from PSU.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
How are the rules for calculating the deserved incentives amount prioritized?,Publication fees at Prince Sultan University are processed by striving to process all requests as soon as possible.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
How are publication fees processed at Prince Sultan University?,"At Prince Sultan University, efforts are made to process all publication fee requests promptly.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What is the procedure for handling publication fees at Prince Sultan University?,The processing of publication fees at Prince Sultan University prioritizes the swift handling of all requests.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
How are the payment of publication fees managed at Prince Sultan University?,"The guidelines for the refund of publication fees in 2023 are as follows: (1) Each paper must cite at least 3-4 relevant PSU research papers, excluding authors' self-citations, to improve the citation records of Prince Sultan University. (2) Publications fees are granted for publications with at least 40% of PSU authors. (3) The publication fees will be fully paid for papers ranked in all QS ranking, whether in ISI or SCOPUS, except SCOPUS Q4. (4)",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the guidelines for the refund of publication fees in 2023?,"The publication fees in the invoice must be the same as the publication fees declared by the open-access journal on its website. (5) The refund will be made to the PSU author who paid the publication fees. If the receipt is not in the name of a PSU author, the refund will not be approved. (6) The publication fee invoice must be issued by the same journal/publisher where the article is accepted. Third-party payments of publication fees are not allowed and will not be refunded. (7) PSU can secure publication fees per paper up to 9000 SAR, and any extra amount above that will not be considered. (8) For payment in other currencies, a bank statement showing the exact amount withdrawn in Saudi Riyal must be added.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the instructions to follow regarding the reimbursement of publication fees in 2023?,"The guidelines for the reimbursement of publication fees in 2023 are outlined as follows: (1) To enhance Prince Sultan University's citation records, each paper must reference a minimum of 3-4 relevant PSU research papers, excluding self-citations. (2) Publication fees are granted for papers with a minimum of 40% PSU authors. (3) Papers ranked in all QS rankings, excluding SCOPUS Q4, are eligible for full payment of publication fees. (4) The invoice for publication fees should match the fees specified on the open-access journal's website. (5) Refunds will be issued to PSU authors who made the payment. Refunds will not be approved if the receipt is not in the name of a PSU author. (6) The publication fee invoice must be issued by the same journal or publisher that accepted the article. Third-party payments of publication fees are not permitted and will not be refunded. (7) PSU can secure publication fees per paper up to 9000 SAR, and any amount exceeding this limit will not be considered. (8) If payment is made in a currency other than Saudi Riyal, a bank statement showing the exact amount withdrawn in Saudi Riyal must be provided.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the guidelines for obtaining a refund of publication fees in the year 2023?,"The guidelines for the reimbursement of publication fees in 2023 are as follows: (1) In order to enhance the citation records of Prince Sultan University, each paper must reference a minimum of 3-4 relevant PSU research papers, excluding self-citations. (2) Publication fees are granted for papers with a minimum of 40% PSU authors. (3) Full payment of publication fees is applicable to papers ranked in all QS rankings, excluding SCOPUS Q4. (4) The publication fees mentioned on the invoice should match the fees declared by the open-access journal on its website. (5) The refund will be issued to the PSU author who made the payment. Refunds will not be approved if the receipt is not in the name of a PSU author. (6) The publication fee invoice must be issued by the same journal or publisher where the article is accepted. Third-party payments of publication fees are not allowed and will not be refunded. (7) PSU can receive publication fees per paper up to 9000 SAR, and any amount exceeding this limit will not be considered. (8) For payments in other currencies, a bank statement demonstrating the exact amount withdrawn in Saudi Riyal must be provided.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the requirements for papers to be eligible for publication fees?,Certainly! Here are the remaining original sentences and their paraphrases:,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What conditions must be met for papers to qualify for publication fees?,Papers are eligible for publication fees if they have at least 40% of PSU authors.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the prerequisites for papers to be eligible for the payment of publication fees?,Publication fees can be obtained for papers that consist of a minimum of 40% PSU authors.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
"Which ranking categories qualify for fully paid publication fees, except SCOPUS Q4?","To qualify for publication fees, papers must include at least 40% authors affiliated with PSU.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
"Apart from SCOPUS Q4, which ranking categories are eligible for having their publication fees fully covered?","Fully paid publication fees are granted for papers ranked in all QS ranking, whether in ISI or SCOPUS, except SCOPUS Q4.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
"Which ranking classifications, excluding SCOPUS Q4, entitle publications to have their fees paid in full?","Papers ranked in all QS rankings, excluding SCOPUS Q4, receive fully covered publication fees.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the requirements for the publication fee invoice to be approved for refund?,"Full payment of publication fees is provided for papers with rankings in all QS categories, except for SCOPUS Q4.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What criteria must the publication fee invoice meet to be approved for reimbursement?,"The publication fee invoice must be the same as the publication fees declared by the open-access journal on its website. If article processing charges are hidden, the refund will not be approved, even if an invoice is shown.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What conditions need to be satisfied for the publication fee invoice to be eligible for a refund?,"The publication fee invoice should match the publication fees stated on the open-access journal's website. If article processing charges are concealed, the refund request will be denied, even with an invoice.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What is the maximum publication fee ceiling per paper at PSU?,"The invoice for publication fees must correspond to the fees specified on the open-access journal's website. Refunds will not be approved if article processing charges are not transparent, regardless of the submission of an invoice.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What is the upper limit for publication fees per paper at PSU?,"The maximum publication fee ceiling per paper at PSU is 50,000 SAR.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What is the highest amount that can be charged as a publication fee for a single paper at PSU?,"At PSU, the highest limit for publication fees per paper is 50,000 SAR.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
"Under what conditions can the publication fee ceiling be extended beyond 50,000 SAR?","The maximum amount allowed for publication fees per paper at PSU is 50,000 SAR.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
"In what situations can the maximum publication fee limit exceed 50,000 SAR?","The publication fee ceiling can be extended beyond 50,000 SAR under the following conditions: (1) If the faculty member secures the funding of two publication fees from a collaborator, PSU gives him/her a matching of one extra publication fee paid. (2) If the faculty member publishes three papers in closed-access journals with no publication fees, PSU gives him/her a matching of one extra publication fee paid.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
"What circumstances allow for an extension of the publication fee ceiling beyond 50,000 SAR?","The publication fee limit of 50,000 SAR can be surpassed based on the following circumstances: (1) If a faculty member obtains funding for two publication fees from a collaborator, PSU will provide a matching payment of one additional publication fee. (2) If a faculty member publishes three papers in closed-access journals without publication fees, PSU will match the payment by covering one extra publication fee.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What is the purpose of the rule requiring the citing of 3-4 relevant PSU research papers in each paper?,"Under specific conditions, the publication fee ceiling of 50,000 SAR can be exceeded: (1) If a faculty member secures funding for two publication fees from a collaborator, PSU will provide an additional matching publication fee. (2) If a faculty member publishes three papers in closed-access journals without publication fees, PSU will match the payment by covering one extra publication fee.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Why is there a rule mandating the inclusion of 3-4 relevant PSU research papers in every paper?,The purpose of the rule requiring the citing of 3-4 relevant PSU research papers in each paper is to increase the exposure of PSU research work and increase the total number of PSU citations.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What is the rationale behind the requirement to cite 3-4 appropriate PSU research papers in each paper?,The rule mandating the citation of 3-4 relevant PSU research papers aims to enhance the visibility of PSU's research and augment the overall number of PSU citations.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
When does the rule for citing relevant papers come into effect?,Requiring the citation of 3-4 relevant PSU research papers in each paper serves the purpose of promoting PSU's research output and boosting the overall count of PSU citations.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
At what point does the rule regarding the citation of relevant papers become applicable?,"The rule for citing relevant papers comes into effect on papers submitted on or after Jan 04, 2023.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
From when does the requirement to cite appropriate papers come into force?,"The regulation regarding the citation of relevant papers applies to papers submitted on or after Jan 04, 2023.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What is the requirement for the percentage of PSU faculty members to be eligible for publication fees?,"The rule concerning the citation of pertinent papers is applicable to papers submitted on or after Jan 04, 2023.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What percentage of PSU faculty members must be involved to qualify for publication fees?,The requirement for the percentage of PSU faculty members,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
How many PSU faculty members need to be part of a publication to meet the eligibility criteria for publication fees?,to be eligible for publication fees is that papers must have at least 40% of PSU authors.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
What are the exceptions to the 40% PSU faculty members requirement for publication fees?,"In order to qualify for publication fees, papers must comprise a minimum of 40% PSU authors.",https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
Are there any cases where the requirement of having 40% PSU faculty members for publication fees is waived?,The eligibility criterion for publication fees stipulates that papers must include at least 40% authors affiliated with PSU.,https://ric.psu.edu.sa/apply-for-publication-fees-incentives.php,ric/ResearchFund/ric/ResearchFund/apply-for-publication-fees-incentives/,2023-05-17
